Age,Gender,Breastfeeding/Pregnant,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Vitamin C,Calcium,Copper,Iron heme,Iron (non-heme),Magnesium,Phosporus,Potassium,Selenium,Zinc
0,Male,No,500,0.3,0.3,0.3,0.5,50,260,220,11,22,75,275,860,20,3
1,Male,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,3
2,Male,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,3
3,Male,No,300,0.5,0.5,0.5,0.9,15,700,340,7,14,80,460,2000,20,3
4,Male,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,5
5,Male,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,5
6,Male,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,5
7,Male,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,5
8,Male,No,400,0.6,0.6,0.6,1.2,25,1000,440,10,20,130,500,2300,30,5
9,Male,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2500,40,8
10,Male,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2500,40,8
11,Male,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2500,40,8
12,Male,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2500,40,8
13,Male,No,600,0.9,0.9,1,1.8,45,1300,700,8,16,240,1250,2500,40,8
14,Male,No,900,1.2,1.3,1.3,2.4,75,1300,890,11,22,410,1250,3000,55,11
15,Male,No,900,1.2,1.3,1.3,2.4,75,1300,890,11,22,410,1250,3000,55,11
16,Male,No,900,1.2,1.3,1.3,2.4,75,1300,890,11,22,410,1250,3000,55,11
17,Male,No,900,1.2,1.3,1.3,2.4,75,1300,890,11,22,410,1250,3000,55,11
18,Male,No,900,1.2,1.3,1.3,2.4,75,1300,890,11,22,410,1250,3000,55,11
19,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
20,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
21,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
22,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
23,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
24,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
25,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
26,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
27,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
28,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
29,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
30,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
31,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
32,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
33,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
34,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
35,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
36,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
37,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
38,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
39,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
40,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
41,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
42,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
43,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
44,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
45,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
46,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
47,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
48,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
49,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
50,Male,No,900,1.2,1.3,1.3,2.4,90,1000,900,8,16,420,700,3400,55,11
51,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
52,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
53,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
54,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
55,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
56,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
57,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
58,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
59,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
60,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
61,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
62,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
63,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
64,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
65,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
66,Male,No,900,1.2,1.3,1.7,2.4,90,1000,900,8,16,420,700,3400,55,11
