"Region, subregion, country or area *",Location code,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,,,,,,,,
World,900,8161972.572,8231613.07,8300678.396,8369094.344,8436618.887,8503285.323,8569124.911,8634119.333,8698229.812,8761449.081,8823784.909,8885210.181,8945686.615,9005152.624,9063572.926,9120928.38,9177190.203,9232281.575,9286110.371,9338661.314,9389873.694,9439639.668,9487889.604,9534545.977,9579536.043,9622824.028,9664378.587,9704192.304,9742264.515,9778614.614,9813251.659,9846237.571,9877680.392,9907637.193,9936164.379,9963337.082,9989232.292,10013916.213,10037466.6,10059950.035,10081402.737,10101849.561,10121317.108,10139808.361,10157301.941,10173782.135,10189241.959,10203681.568,10217055.169,10229327.824,10240485.056,10250496.431,10259351.432,10267045.023,10273556.322,10278887.473,10283078.028,10286161.735,10288205.05,10289247.324,10289315.244,10288456.599,10286708.36,10284111.374,10280704.572,10276518.28,10271565.071,10265861.714,10259408.376,10252184.758,10244185.837,10235403.601,10225850.874,10215549.31,10204489.862,10192689.065,10180160.751,,,,,,,,
Sub-Saharan Africa,1834,1243009.511,1273565.325,1304244.788,1335292.81,1366677.128,1398325.103,1430233.474,1462401.836,1494789.583,1527329.153,1560064.897,1593016.397,1626116.238,1659295.643,1692554.915,1725905.984,1759339.305,1792816.754,1826311.58,1859845.352,1893390.939,1926878.408,1960321.025,1993770.546,2027177.382,2060462.862,2093621.996,2126746.824,2159802.955,2192672.786,2225394.558,2258004.003,2290462.78,2322694.462,2354699.035,2386594.769,2418311.355,2449782.235,2480945.225,2511738.926,2542255.507,2572493.118,2602387.848,2631943.342,2661140.886,2689953.682,2718415.158,2746503.796,2774193.368,2801447.826,2828291.571,2854720.967,2880661.137,2906175.905,2931270.714,2955812.284,2979812.408,3003299.248,3026300.02,3048837.676,3070824.013,3092317.084,3113390.976,3133886.685,3153732.708,3173094.973,3192004.219,3210321.832,3228034.414,3245210.905,3261903.581,3278077.197,3293771.434,3308973.127,3323635.737,3337788.478,3351458.67,,,,,,,,
Northern Africa and Western Asia,1833,581482.157,590599.486,599872.197,608944.883,617676.527,626277.456,634758.405,643142.589,651481.66,659786.964,668056.126,676284.19,684479.358,692647.639,700768.457,708851.657,716903.074,724884.981,732786.584,740589.34,748296.899,755919.074,763417.719,770791.441,778070.103,785263.137,792346.044,799280.306,806058.258,812722.038,819289.189,825712.629,831976.5,838091.106,844072.623,849936.468,855696.833,861321.007,866806.385,872188.806,877452.668,882587.332,887621.384,892526.481,897271.124,901881.699,906360.766,910745.132,915043.464,919220.529,923250.603,927125.576,930865.126,934472.137,937975.833,941415.71,944767.792,948010.155,951135.103,954125.914,957011.146,959815.696,962499.281,965037.583,967451.011,969754.211,971904.802,973940.451,975909.914,977761.122,979428.028,980974.78,982432.293,983749.37,984962.096,986058.67,987038.326,,,,,,,,
Central and Southern Asia,1831,2146282.356,2168805.514,2191193.978,2213449.549,2235575.952,2257501.969,2279182.732,2300558.953,2321550.751,2342153.404,2362313.844,2382002.156,2401278.248,2420083.513,2438366.338,2456178.705,2473537.325,2490414.415,2506745.508,2522552.298,2537882.79,2552734.444,2567134.904,2580999.303,2594291.738,2607121.618,2619449.617,2631202.697,2642484.29,2653341.812,2663692.929,2673561.269,2682996.196,2691960.748,2700400.717,2708246.538,2715553.091,2722326.079,2728613.294,2734441.792,2739757.225,2744567.812,2748823.852,2752513.839,2755701.089,2758379.257,2760527.041,2762116.85,2763150.083,2763744.871,2763863.758,2763426.741,2762508.513,2761171.33,2759344.514,2757103.935,2754513.982,2751458.002,2747994.129,2744194.967,2740116.355,2735731.464,2730931.588,2725866.714,2720581.142,2714983.542,2709156.061,2703110.887,2696831.31,2690338.763,2683627.202,2676695.935,2669553.06,2662229.748,2654718.769,2647063.174,2639257.308,,,,,,,,
Eastern and South-Eastern Asia,1832,2351264.833,2352217.314,2353001.695,2353537.891,2353591.624,2353148.962,2352272.249,2350960.958,2349207.937,2347024.804,2344428.854,2341426.677,2338006.628,2334211.884,2330052.322,2325484.015,2320467.11,2314982.939,2309047.498,2302681.067,2295838.708,2288436.583,2280412.504,2271739.5,2262405.515,2252361.776,2241608.361,2230122.902,2217860.772,2204910.02,2191311.52,2177074.52,2162268.156,2146974.02,2131251.432,2115156.85,2098775.814,2082201.978,2065509.772,2048769.982,2032011.88,2015249.436,1998539.994,1981894.522,1965328.021,1948850.338,1932440.782,1916100.888,1899789.503,1883455.249,1867115.383,1850758.757,1834365.132,1817898.046,1801341.002,1784701.563,1767973.953,1751201.589,1734427.391,1717663.678,1700905.174,1684196.382,1667594.217,1651107.771,1634756.69,1618546.562,1602484.184,1586586.706,1570833.584,1555205.938,1539702.121,1524315.353,1509022.033,1493823.894,1478725.808,1463716.839,1448796.864,,,,,,,,
Latin America and the Caribbean,1830,663466.072,667888.552,672135.562,676242.124,680211.414,684041.745,687743.397,691312.953,694747.549,698044.237,701205.836,704227.204,707097.628,709812.916,712378.596,714786.713,717030.336,719105.582,721007.17,722733.888,724286.046,725664.821,726872.065,727916.664,728798.614,729507.269,730056.746,730453.9,730692.838,730775.264,730698.842,730474.643,730104.228,729585.21,728928.751,728133.599,727195.657,726127.67,724931.398,723606.995,722160.921,720589.569,718893.813,717084.489,715163.505,713131.083,710988.374,708741.421,706395.413,703947.366,701403.932,698771.016,696049.054,693237.714,690336.046,687350.875,684287.678,681150.892,677950.245,674691.981,671375.548,667998.344,664562.144,661078.64,657557.867,653999.123,650403.342,646778.678,643132.508,639460.717,635766.056,632057.048,628336.214,624611.41,620885.816,617164.205,613447.218,,,,,,,,
Oceania (excluding Australia and New Zealand),1835,14161.567,14383.719,14604.418,14824,15042.486,15259.531,15475.634,15690.173,15902.941,16114.389,16325,16534.484,16742.663,16949.64,17154.696,17357.386,17557.27,17754.481,17949.095,18141.696,18333.059,18523.16,18710.285,18893.581,19074.011,19251.946,19425.921,19595.98,19763.65,19927.539,20088.068,20245.013,20397.226,20546.448,20692.923,20836.406,20977.455,21114.279,21246.048,21374.594,21501.47,21626.773,21749.507,21869.28,21985.475,22097.346,22204.962,22310.001,22412.236,22509.824,22603.162,22693.619,22781.099,22865.853,22948.989,23028.975,23107.298,23182.823,23252.86,23320.744,23385.788,23447.426,23506.796,23562.573,23614.634,23663.433,23711.001,23756.329,23797.118,23833.914,23867.085,23896.755,23922.841,23945.158,23963.115,23977.865,23989.719,,,,,,,,
Australia/New Zealand,1836,31927.149,32225.925,32514.575,32795.141,33070.667,33337.168,33595.888,33850.276,34098.038,34340.228,34579.057,34816.77,35054.402,35286.992,35517.929,35747.428,35974.741,36206.058,36440.454,36673.209,36902.417,37131.679,37363.938,37591.123,37817.394,38042.638,38262.257,38482.802,38698.791,38911.609,39126.85,39343.994,39557.627,39767.492,39980.953,40191.82,40395.884,40600.224,40807.352,41016.558,41221.359,41424.994,41636.366,41851.914,42067.69,42282.791,42494.164,42699.076,42902.783,43109.03,43317.042,43525.537,43732.018,43940.912,44151.378,44359.32,44565.431,44775.937,44987.374,45197.447,45404.946,45607.906,45815.636,46030.734,46256.776,46485.06,46713.207,46946.613,47178.988,47407.576,47628.054,47845.775,48070.402,48301.375,48527.482,48743.27,48955.978,,,,,,,,
Europe and Northern America,1829,1130378.928,1131927.235,1133111.184,1134007.947,1134773.087,1135393.39,1135863.132,1136201.593,1136451.353,1136655.903,1136811.294,1136902.301,1136911.449,1136864.399,1136779.673,1136616.491,1136381.041,1136116.365,1135822.482,1135444.464,1134942.834,1134351.499,1133657.164,1132843.82,1131901.286,1130812.783,1129607.644,1128306.894,1126902.959,1125353.548,1123649.703,1121821.5,1119917.68,1118017.707,1116137.945,1114240.633,1112326.203,1110442.741,1108607.126,1106812.382,1105041.708,1103310.527,1101664.342,1100124.493,1098644.15,1097205.939,1095810.712,1094464.404,1093168.319,1091893.13,1090639.603,1089474.219,1088389.354,1087283.126,1086187.846,1085114.812,1084049.485,1083083.09,1082157.928,1081214.916,1080292.273,1079342.297,1078407.723,1077540.672,1076753.745,1075991.375,1075188.252,1074420.218,1073690.541,1072965.825,1072263.711,1071540.757,1070742.596,1069915.229,1069071.041,1068176.565,1067216.669,,,,,,,,
"Europe, Northern America, Australia, and New Zealand",5502,1162550.056,1164887.688,1166695.769,1168098.763,1169245.185,1170117.694,1170824.082,1171332.378,1171775.385,1172139.621,1172335.22,1172408.224,1172436.218,1172504.296,1172480.034,1172281.045,1172129.996,1171997.225,1171688.065,1171309.335,1170879.275,1170294.199,1169493.402,1168580.202,1167508.237,1166354.555,1165085.982,1163548.816,1161800.053,1159929.269,1158037.428,1156128.426,1154282.827,1152308.459,1150287.743,1148279.103,1146214.269,1144163.969,1142204.758,1140130.719,1138165.8,1136513.275,1134737.174,1133025.856,1131383.231,1129595.399,1127992.213,1126665.791,1125344.063,1123992.419,1122758.624,1121576.672,1120391.607,1119215.426,1118246.312,1117127.317,1115448.936,1113700.856,1112323.648,1110640.607,1108930.251,1107502.943,1106183.42,1105364.106,1104522.348,1103345.766,1101960.214,1100641.799,1099538.579,1098655.347,1098098.258,1097726.9,1097084.237,1096339.278,1095567.763,1094736.059,1093807.339,,,,,,,,
